Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
13556942,"Chew, Vol. 5: Major League",John Layman,"Layman, John",Rob Guillory,"=""1607065231""","=""9781607065234""",4,4.12,Image Comics,Paperback,120,2012,2012,2017/04/04,2017/04/02,,,read,,,,1,,,0,,,,,
11325591,"Chew, Vol. 4: Flambé",John Layman,"Layman, John",,"=""1607063980""","=""9781607063988""",4,4.14,Image Comics,Paperback,120,2011,2011,2017/04/03,2017/04/02,,,read,,,,2,,,0,,,,,
9256590,"Chew, Vol. 3: Just Desserts",John Layman,"Layman, John",Rob Guillory,"=""1607063352""","=""9781607063353""",4,4.18,Image Comics,Paperback,128,2010,2010,2017/04/03,2017/04/02,,,read,,,,1,,,0,,,,,
7870457,"Chew, Vol. 2: International Flavor",John Layman,"Layman, John",Rob Guillory,"=""1607062607""","=""9781607062608""",4,4.09,Image Comics,Paperback,128,2010,2010,2017/04/02,2017/04/02,,,read,,,,1,,,0,,,,,
23634017,"Tony Chu, Detective Canibal - Vol. 1: Ao Gosto do Freguês",John Layman,"Layman, John","Rob Guillory, José Hartvig de Freitas","=""""","=""9788791630873""",4,3.95,G. Floy Studio,Hardcover,128,2014,2009,2017/04/02,2014/12/17,,,read,,,,2,,,0,,,,,
6120349,"Locke & Key, Vol. 2: Head Games",Joe Hill,"Hill, Joe",Gabriel Rodríguez,"=""""","=""""",5,4.33,IDW Publishing,Hardcover,160,2015,2009,2017/03/31,2017/03/31,,,read,,,,1,,,0,,,,,
3217221,"Locke & Key, Vol. 1: Welcome to Lovecraft",Joe Hill,"Hill, Joe",Gabriel Rodríguez,"=""1600102379""","=""9781600102370""",5,4.15,IDW Publishing,Hardcover,168,2013,2008,2017/03/31,2016/03/28,,,read,,,,2,,,0,,,,,
9209985,Shadowland: Daredevil,Andy Diggle,"Diggle, Andy","Roberto de la Torre, Antony Johnston","=""0785149902""","=""9780785149903""",4,2.98,Marvel,Hardcover,120,2011,2011,2017/03/28,2017/03/28,,,read,,,,1,,,0,,,,,
13832131,A Mathematician's Apology,G.H. Hardy,"Hardy, G.H.",C.P. Snow,"=""110760463X""","=""9781107604636""",4,3.93,Cambridge University Press,Paperback,153,2012,1940,2017/03/27,2017/03/26,,,read,,,,1,,,0,,,,,
23015798,"Universo Marvel: Marvels (Colecção Universo Marvel, #7)",Kurt Busiek,"Busiek, Kurt",Alex Ross,"=""""","=""9789896824518""",5,4.25,Levoir,Hardcover,224,2014,1993,2014/09/20,2014/09/18,,,read,,,,1,,,0,,,,,
33977826,Lovesenda ou o Enigma das Oito Portas de Cristal,António de Macedo,"Macedo, António de","Mário de Seabra Coelho, Pedro Cipriano, Filipe Coelho, Rúben Botelho","=""""","=""9789899899643""",5,4.67,Editorial Divergência,Paperback,507,2017,,2017/01/31,2017/03/18,,,read,"Um extraordinário livro em que a voz de António de Macedo é reconhecível a partir da primeira palavra. E até do título. Um livro que dispensa explicações de um autor que dispensa apresentações. O cenário medieval é perfeito, como não podia deixar de ser, e o enredo místico parece quase uma prova de iniciátiva para quem lê. O final não me deixou completamente satisfeito, mas não há dúvida que estamos perante uma verdadeira obra-prima, um clássico instantâneo e um marco na ficção Fantástica nacional!",,,1,,,0,,,,,
18525375,Galileu na Prisão e Outros Mitos Sobre Ciência e Religião,Ronald L. Numbers,"Numbers, Ronald L.",,"=""9896164770""","=""9789896164775""",3,3.69,Gradiva,Paperback,340,2012,2009,2017/03/16,2016/10/31,,,read,,,,1,,,0,,,,,
34383207,O Imperativo Thanos (A Coleção Oficial de Graphic Novels Marvel #37),Dan Abnett,"Abnett, Dan",,"=""""","=""9788447128303""",4,3.64,Salvat,Hardcover,200,2017,,2017/03/13,2017/03/12,,,read,,,,1,,,0,,,,,
34183420,Deadpool: A Guerra de Wade Wilson (A Coleção Oficial de Graphic Novels Marvel #36),Duane Swierczynski,"Swierczynski, Duane",,"=""""","=""9788447128297""",3,4.08,,Hardcover,136,2017,2010,2017/03/12,2017/03/11,,,read,,,,1,,,0,,,,,
33986633,Vingadores Secretos: Missão a Marte (A Coleção Oficial de Graphic Novels Marvel #35),Ed Brubaker,"Brubaker, Ed",Mike Deodato,"=""""","=""9788447128280""",3,3.72,Salvat,Hardcover,136,2016,2011,2017/03/11,2017/03/10,,,read,,,,1,,,0,,,,,
33831515,Vingadores: Primordial (A Coleção Oficial de Graphic Novels Marvel #34),Brian Michael Bendis,"Bendis, Brian Michael",Alan Davis,"=""""","=""9788447128273""",3,3.74,Salvat,Hardcover,136,2017,2011,2017/03/10,2017/03/09,,,read,,,,1,,,0,,,,,
33353860,Homem-Aranha: Azul (A Coleção Oficial de Graphic Novels Marvel #32),Jeph Loeb,"Loeb, Jeph",Tim Sale,"=""""","=""9788447128259""",4,4.15,Salvat,Hardcover,160,2016,2004,2017/03/06,2017/03/04,,,read,,,,1,,,0,,,,,
31942120,Proxy,Carlos Silva,"Silva, Carlos","José Pedro Castro, Júlia Durand, Mário de Seabra Coelho, Marta Silva, Vitor Frazão, Anton Stark, Matthias Sanne","=""""","=""9789899899650""",3,3.67,Editorial Divergência,Paperback,223,2016,,2017/03/04,2017/02/26,,,read,,,,1,,,0,,,,,
18748788,As Fantásticas Aventuras de Dog Mendonça e Pizzaboy III: Requiem,Filipe Melo,"Melo, Filipe","Juan Cavia, Santiago Villa","=""""","=""9789896711870""",4,4.24,Tinta da China,Paperback,128,2013,2013,2017/02/20,2017/02/19,,,read,,,,1,,,0,,,,,
13065030,As Extraordinárias Aventuras de Dog Mendonça e Pizzaboy II: Apocalipse,Filipe Melo,"Melo, Filipe",Juan Cavia,"=""""","=""9789896710996""",4,4.13,Tinta-da-China,Paperback,112,2011,2011,2017/02/19,2013/04/30,,,read,,,,2,,,0,,,,,
8016118,As Incríveis Aventuras de Dog Mendonça e PizzaBoy,Filipe Melo,"Melo, Filipe",Juan Cavia,"=""""","=""9789896710279""",4,3.97,Tinta-da-China,Paperback,120,2010,2010,2017/02/19,2013/04/21,,,read,,,,2,,,0,,,,,
32993094,Capitão Bretanha: Um Mundo ao Contrário (A Coleção Oficial de Graphic Novels Marvel #30),Alan Moore,"Moore, Alan",Alan Davis,"=""""","=""9788447128235""",4,3.84,Salvat,Hardcover,200,2016,2002,2017/02/19,2017/02/12,,,read,,,,2,,,0,,,,,
32336454,A Biblioteca à Noite,Alberto Manguel,"Manguel, Alberto",Rita Almeida Simões,"=""""","=""9789896713409""",5,3.99,Edições Tinta-da-China,Paperback,304,2016,2006,2017/02/17,2017/01/30,,,read,,,,1,,,0,,,,,
6365144,101 Illnesses You Don't Want To Get,Michael Powell,"Powell, Michael",Oliver Fischer,"=""1844033899""","=""9781844033898""",3,3.60,Cassell Illustrated,Paperback,144,,,2017/02/12,2017/02/12,,,read,,,,1,,,0,,,,,
